anime_id,Name,Score,Genres,Episodes
57,Beck,8.29,"Comedy, Drama, Slice of Life",26
58,Blue Gender,7.03,"Adventure, Drama, Horror, Romance, Sci-Fi",26
59,Chobits,7.4,"Comedy, Drama, Romance, Sci-Fi, Ecchi",26
60,Chrno Crusade,7.62,"Action, Romance, Supernatural",24
61,D.N.Angel,7.17,"Action, Comedy, Fantasy, Romance",26
62,D.C.: Da Capo,6.72,"Drama, Romance",26
63,DearS,6.56,"Comedy, Romance, Sci-Fi, Ecchi",12
64,Rozen Maiden,7.41,"Action, Comedy, Drama",12
65,Rozen Maiden: Träumend,7.62,"Action, Comedy, Drama",12
66,Azumanga Daiou The Animation,7.99,"Comedy, Slice of Life",26
67,Basilisk: Kouga Ninpou Chou,7.55,"Action, Drama, Romance",24
68,Black Cat (TV),7.33,"Action, Adventure, Sci-Fi",23
69,Cluster Edge,6.31,"Action, Fantasy, Sci-Fi",25
71,Full Metal Panic!,7.61,"Action, Comedy, Sci-Fi",24
72,Full Metal Panic? Fumoffu,8.03,"Action, Comedy",12
73,Full Metal Panic! The Second Raid,7.93,Action,13
74,Gakuen Alice,7.64,"Comedy, Fantasy",26
75,Soukyuu no Fafner: Dead Aggressor,7.26,"Action, Drama, Sci-Fi",25
76,Mahou Shoujo Lyrical Nanoha,7.41,"Action, Comedy, Drama",13
77,Mahou Shoujo Lyrical Nanoha A's,7.97,"Action, Comedy, Drama",13
79,Shuffle!,7.03,"Comedy, Drama, Fantasy, Romance, Ecchi",24
80,Kidou Senshi Gundam,7.76,"Action, Drama, Sci-Fi",43
81,Kidou Senshi Gundam: Dai 08 MS Shoutai,8.01,"Adventure, Drama, Romance, Sci-Fi",12
82,Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,7.96,"Drama, Sci-Fi",6
83,Kidou Senshi Gundam: Dai 08 MS Shoutai - Miller's Report,6.76,"Drama, Romance, Sci-Fi",1
84,Kidou Senshi Gundam 0083: Stardust Memory,7.24,"Adventure, Drama, Romance, Sci-Fi",13
85,Kidou Senshi Zeta Gundam,7.9,"Drama, Romance, Sci-Fi",50
86,Kidou Senshi Gundam ZZ,6.68,"Comedy, Drama, Sci-Fi",47
87,Kidou Senshi Gundam: Gyakushuu no Char,7.66,"Drama, Sci-Fi",1
88,Kidou Senshi Gundam F91,6.62,"Drama, Sci-Fi",1
89,Kidou Senshi Victory Gundam,6.77,"Drama, Sci-Fi",51
90,Shin Kidou Senki Gundam Wing,7.69,"Action, Drama, Sci-Fi",49
91,Shin Kidou Senki Gundam Wing: Endless Waltz,7.74,"Action, Award Winning, Drama, Sci-Fi",3
92,Kidou Shinseiki Gundam X,7.34,"Adventure, Drama, Sci-Fi",39
93,Kidou Senshi Gundam SEED,7.75,"Action, Award Winning, Drama, Romance, Sci-Fi",50
94,Kidou Senshi Gundam SEED Destiny,7.18,"Action, Drama, Romance, Sci-Fi",50
95,Turn A Gundam,7.74,"Action, Adventure, Award Winning, Drama, Romance, Sci-Fi",50
96,Kidou Butouden G Gundam,7.57,"Adventure, Comedy, Drama, Romance, Sci-Fi, Sports",49
97,Last Exile,7.79,"Action, Adventure, Sci-Fi",26
98,Mai-HiME,7.42,"Action, Fantasy, Girls Love",26
99,Mai-Otome,7.28,"Comedy, Drama, Fantasy",26
100,Shin Shirayuki-hime Densetsu Prétear,7.16,"Comedy, Drama, Fantasy, Romance",13
101,Air,7.28,"Drama, Romance, Supernatural",12
102,Aishiteruze Baby★★,7.44,"Comedy, Drama, Romance",26
103,Akazukin Chacha,7.49,"Adventure, Comedy, Fantasy, Romance",74
104,Ayashi no Ceres,7.18,"Adventure, Drama, Horror, Romance, Supernatural, Suspense",24
105,Boys Be...,6.4,"Comedy, Romance, Slice of Life",13
106,Hana yori Dango,7.61,"Drama, Romance",51
107,Ou Dorobou Jing,7.19,"Adventure, Comedy, Fantasy, Sci-Fi",13
108,Ou Dorobou Jing in Seventh Heaven,7.25,"Adventure, Comedy, Fantasy",3
109,Bakuretsu Tenshi,6.79,"Adventure, Comedy, Sci-Fi",24
110,Chuuka Ichiban!,7.58,"Action, Comedy, Drama, Gourmet",52
111,Corrector Yui,6.97,"Adventure, Comedy, Sci-Fi",52
112,Chou Henshin Cosprayers,4.82,"Action, Adventure, Comedy, Fantasy, Sci-Fi, Ecchi",8
113,Uchuu no Stellvia,7.37,"Action, Romance, Sci-Fi",26
114,Sakigake!! Cromartie Koukou,7.9,Comedy,26
115,El Hazard: The Alternative World,6.79,"Adventure, Comedy, Fantasy",13
116,El Hazard: The Wanderers,6.93,"Adventure, Comedy, Fantasy, Romance",26
117,El Hazard: The Magnificent World,7.26,"Adventure, Comedy, Fantasy, Romance",7
118,El Hazard 2: The Magnificent World,6.78,"Adventure, Comedy, Fantasy",4
119,Final Approach,6.52,"Comedy, Drama, Romance",13
120,Fruits Basket,7.69,"Drama, Romance, Supernatural",26
121,Fullmetal Alchemist,8.11,"Action, Adventure, Award Winning, Drama, Fantasy",51
122,Full Moon wo Sagashite,7.94,"Comedy, Drama, Romance, Supernatural",52
123,Fushigi Yuugi,7.61,"Adventure, Fantasy, Romance",52
124,Fushigi Yuugi: Eikouden,6.82,"Adventure, Drama, Fantasy, Romance",4
125,Futakoi,6.44,"Comedy, Romance",13
126,Futakoi Alternative,6.86,"Comedy, Drama, Romance",13
127,Gate Keepers,6.92,"Action, Comedy, Fantasy, Sci-Fi",24
128,Gate Keepers 21,6.74,"Action, Drama, Sci-Fi",6
129,Gensoumaden Saiyuuki,7.55,"Action, Adventure, Comedy, Drama, Supernatural",50
130,Saiyuuki Reload,7.37,"Action, Adventure, Comedy, Drama, Supernatural",25
131,Saiyuuki Reload Gunlock,7.37,"Action, Adventure, Comedy, Drama, Supernatural",26
132,GetBackers,7.58,"Action, Mystery, Supernatural",49
133,Green Green,6.15,"Comedy, Romance, Ecchi",12
134,Gunslinger Girl,7.39,"Action, Drama, Sci-Fi",13
135,Hikaru no Go,8.08,"Comedy, Drama, Supernatural",75
136,Hunter x Hunter,8.41,"Action, Adventure, Fantasy",62
137,Hunter x Hunter: Original Video Animation,8.31,"Action, Adventure, Fantasy",8
138,Hunter x Hunter: Greed Island,8.18,"Action, Adventure, Fantasy",8
139,Hunter x Hunter: Greed Island Final,8.25,"Action, Adventure, Fantasy",14
141,Jinki:Extend,6.1,Sci-Fi,12
142,Kamikaze Kaitou Jeanne,7.46,"Action, Drama, Mystery, Romance, Supernatural",44
143,Kannazuki no Miko,6.81,"Drama, Girls Love, Romance, Supernatural",12
144,Kanon,7.07,"Drama, Romance, Supernatural",13
145,Kareshi Kanojo no Jijou,7.59,"Comedy, Drama, Romance",26
146,Kono Minikuku mo Utsukushii Sekai,6.71,"Comedy, Drama, Romance, Sci-Fi, Ecchi",12
147,Kimi ga Nozomu Eien,7.18,"Drama, Romance",14
148,Kita e.: Diamond Dust Drops,6.56,"Drama, Romance",12
149,Loveless,6.76,"Action, Boys Love, Drama, Mystery, Supernatural",12
150,Blood+,7.62,"Action, Drama, Horror, Mystery, Supernatural",50
151,Re: Cutey Honey,7.1,"Action, Comedy, Girls Love, Sci-Fi, Ecchi",3
152,Solty Rei,7.27,"Action, Sci-Fi",24
153,Juuni Kokuki,8.02,"Action, Adventure, Fantasy",45
154,Shaman King,7.75,"Action, Adventure, Comedy, Supernatural",64
155,X/1999,6.57,"Action, Drama, Fantasy, Horror, Sci-Fi, Supernatural",1
156,X,7.4,"Action, Drama, Fantasy, Romance",24
157,Mahou Sensei Negima!,6.94,"Comedy, Fantasy, Romance, Supernatural, Ecchi",26
158,Maria-sama ga Miteru,7.29,"Drama, Girls Love",13
159,Boukyaku no Senritsu,6.28,"Adventure, Fantasy, Horror, Sci-Fi, Supernatural",24
160,"Ima, Soko ni Iru Boku",7.61,"Adventure, Drama, Fantasy, Sci-Fi",13
161,Peace Maker Kurogane,7.3,"Action, Comedy",24
162,Pita Ten,6.93,"Comedy, Fantasy, Romance",26
163,Power Stone,6.55,"Adventure, Comedy, Fantasy",26
164,Mononoke Hime,8.67,"Action, Adventure, Award Winning, Fantasy",1
165,RahXephon,7.39,"Action, Award Winning, Drama, Mystery, Romance, Sci-Fi",26
166,Samurai 7,7.44,Sci-Fi,26
167,Scrapped Princess,7.38,"Adventure, Comedy, Drama, Fantasy, Sci-Fi",24
168,s.CRY.ed,7.36,"Action, Adventure, Drama, Sci-Fi",26
169,Shingetsutan Tsukihime,6.82,"Action, Horror, Mystery, Romance, Supernatural",12
170,Slam Dunk,8.54,Sports,101
171,Strange Dawn,6.32,"Adventure, Drama, Fantasy",13
173,Tactics,7.2,"Mystery, Supernatural",25
174,Tenjou Tenge,6.88,"Action, Comedy, Ecchi",24
175,Tokyo Underground,6.59,"Action, Adventure, Romance, Sci-Fi",26
176,Triangle Heart: Sweet Songs Forever,6.09,"Adventure, Romance",4
177,Tsubasa Chronicle,7.52,"Action, Adventure, Fantasy, Romance",26
178,Ultra Maniac,7.16,"Comedy, Romance",26
179,Ultra Maniac OVA,6.62,"Comedy, Romance",1
180,Vandread,7.17,"Action, Sci-Fi, Ecchi",13
181,Vandread: The Second Stage,7.39,"Action, Sci-Fi, Ecchi",13
182,Tenkuu no Escaflowne,7.67,"Adventure, Fantasy, Romance",26
183,Whistle!,7.39,Sports,39
184,Xenosaga The Animation,6.32,"Action, Sci-Fi",12
185,Initial D First Stage,8.33,"Action, Drama",26
186,Initial D Second Stage,8.16,"Action, Drama",13
187,Initial D Third Stage,7.9,"Action, Drama, Romance",1
188,Gosenzo San'e,6.03,"Comedy, Mystery, Supernatural, Hentai",4
189,Love Hina,7.1,"Comedy, Romance, Ecchi",24
190,Love Hina Again,7.21,"Comedy, Drama, Romance, Ecchi",3
191,Love Hina Christmas Special: Silent Eve,7.31,"Comedy, Romance",1
192,Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,7.18,"Adventure, Comedy, Romance",1
193,Maburaho,6.74,"Comedy, Drama, Romance, Ecchi",24
194,Macross Zero,7.51,"Action, Adventure, Sci-Fi",5
195,Onegai☆Teacher,7.11,"Drama, Romance, Sci-Fi",12
196,Onegai☆Twins,6.82,"Comedy, Drama, Sci-Fi",12
197,Rizelmine,6.51,"Comedy, Romance, Sci-Fi, Ecchi",24
198,Speed Grapher,7.31,"Action, Mystery",24
199,Sen to Chihiro no Kamikakushi,8.78,"Adventure, Award Winning, Supernatural",1
200,Tenshi na Konamaiki,7.43,"Comedy, Romance",50
201,Video Girl Ai,7.2,"Comedy, Drama, Romance, Ecchi",6
202,Wolf's Rain,7.8,"Action, Adventure, Drama, Fantasy, Mystery, Sci-Fi",26
203,Words Worth,6.72,"Adventure, Fantasy, Hentai",5
204,Yumeria,6.08,"Action, Comedy, Ecchi",12
205,Samurai Champloo,8.51,"Action, Adventure, Comedy",26
206,Lodoss-tou Senki: Eiyuu Kishi Den,7.13,"Action, Adventure, Drama, Fantasy, Romance",27
207,Lodoss-tou Senki,7.36,"Action, Adventure, Fantasy",13
208,R.O.D: Read or Die,7.63,"Action, Adventure, Mystery, Sci-Fi",3
209,R.O.D: The TV,7.53,"Action, Adventure, Comedy, Drama, Sci-Fi",26
210,Ranma ½,7.76,"Action, Comedy, Fantasy",161
211,Pure Mail,6.17,Hentai,2
212,Project A-Ko,6.85,"Action, Adventure, Comedy, Sci-Fi",1
213,Pia Carrot e Youkoso!!,5.94,"Comedy, Hentai",3
214,Pia Carrot e Youkoso!! 2,6.07,"Comedy, Romance, Hentai",3
215,Pia Carrot e Youkoso!! 2 DX,6.19,"Comedy, Romance",6
216,Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,5.81,"Comedy, Romance",1
217,Shin Angel,6.17,"Comedy, Drama, Romance, Hentai",5
218,Kidou Senkan Nadesico,7.49,"Action, Romance, Sci-Fi",26
219,Kidou Senkan Nadesico: The Prince of Darkness,6.73,"Action, Award Winning, Drama, Sci-Fi",1
220,Kuro no Danshou,5.62,"Horror, Hentai",4
221,Mezzo Forte,6.62,"Action, Comedy, Sci-Fi, Hentai",2
222,Mezzo DSA,6.65,"Action, Adventure, Comedy, Mystery, Sci-Fi",13
223,Dragon Ball,7.96,"Action, Adventure, Comedy, Fantasy",153
225,Dragon Ball GT,6.48,"Action, Adventure, Comedy, Fantasy",64
226,Elfen Lied,7.48,"Action, Drama, Horror, Romance, Supernatural",13
227,FLCL,8.03,"Action, Avant Garde, Comedy, Sci-Fi",6
228,Jigoku Shoujo,7.61,"Horror, Mystery, Supernatural",26
229,Ninin ga Shinobuden,6.89,Comedy,12
230,Air Master,6.97,"Action, Comedy",27
231,Asagiri no Miko,6.1,"Action, Comedy, Fantasy, Supernatural",26
232,Cardcaptor Sakura,8.16,"Adventure, Comedy, Drama, Fantasy, Romance",70
233,Daa! Daa! Daa!,7.66,"Comedy, Sci-Fi",78
234,Dan Doh!!,6.63,"Adventure, Sports",26
235,Detective Conan,8.17,"Adventure, Comedy, Mystery",UNKNOWN
236,E's Otherwise,6.59,"Adventure, Comedy, Drama, Sci-Fi, Supernatural",26
237,Koukyoushihen Eureka Seven,8.06,"Adventure, Drama, Romance, Sci-Fi",50
238,Rekka no Honoo,7.34,"Action, Adventure",42
239,Gankutsuou,8.14,"Award Winning, Drama, Mystery, Sci-Fi, Supernatural, Suspense",24
240,Genshiken,7.63,"Comedy, Slice of Life",12
241,Girls Bravo: First Season,6.38,"Comedy, Fantasy, Romance, Ecchi",11
242,Gokusen,7.41,"Comedy, Drama, Slice of Life",13
243,Gravitation,6.93,"Boys Love, Comedy",13
244,Agatha Christie no Meitantei Poirot to Marple,6.83,Mystery,39
245,Great Teacher Onizuka,8.69,Comedy,43
246,Groove Adventure Rave,7.22,"Adventure, Comedy, Fantasy, Romance",51
247,Harukanaru Toki no Naka de: Hachiyou Shou,7,"Fantasy, Romance",26
248,Ichigo 100%,6.63,"Comedy, Romance, Ecchi",12
249,InuYasha,7.86,"Action, Adventure, Fantasy, Romance",167
250,Konjiki no Gash Bell!!,7.54,"Adventure, Comedy, Supernatural",150
251,Kyou kara Maou!,7.63,"Adventure, Comedy, Fantasy",78
252,Madlax,7.03,"Drama, Mystery, Supernatural",26
253,Jungle wa Itsumo Hare nochi Guu,7.81,"Comedy, Slice of Life",26
254,Jungle wa Itsumo Hare nochi Guu Deluxe,7.79,"Comedy, Slice of Life",6
255,Jungle wa Itsumo Hare nochi Guu Final,7.62,"Award Winning, Comedy, Slice of Life",7
256,Hoshi no Koe,7.12,"Award Winning, Drama, Romance, Sci-Fi",1
257,Ikkitousen,6.39,Ecchi,13
258,Hitsuji no Uta,6.15,"Drama, Horror",4
259,Happy☆Lesson,6.6,"Comedy, Romance",5
260,Happy☆Lesson (TV),6.61,"Comedy, Drama, Romance",13
261,Happy☆Lesson Advance,6.77,"Comedy, Romance",13
262,Happy☆Lesson The Final,6.76,"Comedy, Romance",3
263,Hajime no Ippo,8.76,Sports,75
264,Hajime no Ippo: Champion Road,8.26,Sports,1
265,Hajime no Ippo: Mashiba vs. Kimura,8.23,Sports,1
266,Gunparade March: Arata Naru Kougunka,6.73,"Action, Drama, Romance, Sci-Fi",12
267,Gungrave,7.83,"Action, Drama, Sci-Fi",26
268,Golden Boy,8.04,"Adventure, Comedy, Ecchi",6
269,Bleach,7.92,"Action, Adventure, Fantasy",366
270,Hellsing,7.49,"Action, Horror, Supernatural",13
271,Gad Guard,6.65,"Action, Adventure, Sci-Fi",26
272,Noir,7.29,"Action, Drama, Mystery",26
273,Mahoutsukai ni Taisetsu na Koto,6.71,Slice of Life,12
274,Kiddy Grade,7.19,"Action, Sci-Fi, Ecchi",24
275,Love♥Love?,5.85,"Comedy, Romance, Ecchi",9
276,Mahoromatic: Automatic Maiden,7.15,"Comedy, Romance, Sci-Fi, Ecchi",12
277,Mahoromatic: Motto Utsukushii Mono,7.14,"Comedy, Drama, Romance, Sci-Fi, Ecchi",14
278,Viewtiful Joe,6.74,"Action, Comedy, Sci-Fi",51
279,Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,7.1,"Fantasy, Horror, Mystery, Supernatural",13
280,Animal Yokochou,7.26,"Adventure, Comedy, Fantasy",51
281,Akane Maniax,5.73,"Comedy, Romance",3
282,Angel Heart,7.25,"Action, Drama, Mystery, Romance",50
283,Akage no Anne,7.77,Drama,50
284,Area 88 (TV),7,"Action, Drama, Romance",12
285,Argento Soma,6.76,"Action, Adventure, Drama, Sci-Fi",25
286,B'T X,7.03,"Adventure, Sci-Fi",25
287,Grappler Baki (TV),7.47,Sports,24
288,Bakuten Shoot Beyblade,6.76,"Action, Adventure, Comedy, Sports",51
289,Comic Party,6.58,"Comedy, Drama",13
290,Seikai no Monshou,7.64,"Action, Romance, Sci-Fi",13
291,D.C.S.S: Da Capo Second Season,6.95,"Comedy, Drama, Romance, Supernatural",26
292,Dear Boys,6.78,"Drama, Sports",26
293,Di Gi Charat,6.8,"Comedy, Fantasy, Sci-Fi",16
294,Divergence Eve,6,"Adventure, Comedy, Drama, Sci-Fi",13
295,Divergence Eve 2: Misaki Chronicles,6.41,"Adventure, Drama, Sci-Fi",13
296,Dragon Drive,6.69,"Action, Adventure, Comedy, Fantasy, Sci-Fi",38
297,Grenadier: Hohoemi no Senshi,6.69,"Action, Adventure, Comedy, Ecchi",12
298,.hack//Tasogare no Udewa Densetsu,6.56,"Adventure, Comedy, Fantasy",12
299,.hack//Liminality,6.59,Mystery,4
300,3x3 Eyes,6.71,"Action, Fantasy, Horror, Romance",4
301,Cinderella Boy,6.28,"Action, Adventure, Comedy, Mystery",13
302,Mirai Shounen Conan,8.1,"Adventure, Drama, Sci-Fi",26
303,Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,6.89,"Comedy, Supernatural",48
304,Aa! Megami-sama! Movie,7.54,"Comedy, Romance, Supernatural",1
305,Abashiri Ikka,5.28,"Action, Comedy",4
306,Abenobashi Mahou☆Shoutengai,7.23,"Award Winning, Comedy, Fantasy, Ecchi",13
307,Kerokko Demetan,6.02,"Comedy, Fantasy",39
308,Zettai Shounen,6.85,"Drama, Fantasy, Mystery, Sci-Fi",26
309,Akahori Gedou Hour Rabuge,6.13,Comedy,13
310,"Chiisana Obake: Acchi, Kocchi, Socchi",5.99,"Comedy, Supernatural",50
311,Ace wo Nerae!,7.11,"Drama, Romance, Sports",26
312,Ace wo Nerae! Final Stage,6.85,"Drama, Sports",12
313,Ace wo Nerae! (1979),6.93,"Drama, Romance, Sports",1
314,Ace wo Nerae! 2,7.17,"Drama, Sports",13
315,Xiao Qian,6.34,"Action, Drama, Fantasy, Romance",1
316,Nageki no Kenkou Yuuryouji,6.14,"Comedy, Girls Love, Hentai",3
317,Final Fantasy VII: Advent Children,7.72,"Action, Fantasy",1
318,Hand Maid May,6.69,"Comedy, Romance, Sci-Fi, Ecchi",10
319,Happy World!,5.96,"Comedy, Fantasy, Romance, Ecchi",3
320,A Kite,6.54,"Action, Drama, Hentai",2
321,Najica Dengeki Sakusen,5.97,"Action, Comedy, Sci-Fi, Ecchi",12
322,Paradise Kiss,7.85,"Drama, Romance",12
323,Mousou Dairinin,7.67,"Avant Garde, Drama, Mystery, Supernatural, Suspense",13
324,Kidou Keisatsu Patlabor: On Television,7.67,"Comedy, Sci-Fi",47
325,Peach Girl,6.94,"Drama, Romance",25
326,Petshop of Horrors,7.24,"Horror, Mystery, Supernatural",4
327,Puchi Pri*Yucie,7.44,"Comedy, Fantasy",26
328,Piano (TV),5.98,"Drama, Romance, Slice of Life",10
329,Planetes,8.26,"Award Winning, Drama, Romance, Sci-Fi",26
330,Midori no Hibi,7.23,"Comedy, Drama, Romance, Ecchi",13
331,Mahoujin Guruguru,7.6,"Adventure, Comedy, Fantasy",45
332,Dokidoki♡Densetsu: Mahoujin Guruguru,7.1,"Adventure, Comedy, Fantasy",38
333,Mama wa Shougaku 4 Nensei,7.41,"Award Winning, Comedy, Drama, Sci-Fi",51
334,Marmalade Boy,7.44,"Comedy, Drama, Romance",76
335,Matantei Loki Ragnarok,7.25,"Comedy, Mystery, Supernatural",26
336,Ginyuu Mokushiroku Meine Liebe,6.43,Fantasy,13
337,Psychic Academy,6.19,"Comedy, Romance, Supernatural",24
338,Versailles no Bara,8.33,"Drama, Romance",40
339,Serial Experiments Lain,8.08,"Avant Garde, Award Winning, Drama, Mystery, Sci-Fi, Supernatural",13
340,Mutsu Enmei Ryuu Gaiden: Shura no Toki,7.55,Action,26
341,Spiral: Suiri no Kizuna,7.22,"Drama, Mystery",25
342,Starship Operators,7.01,"Drama, Sci-Fi",13
343,Tsukuyomi: Moon Phase,6.94,"Comedy, Fantasy, Romance",25
344,Futatsu no Spica,7.37,"Drama, Sci-Fi, Supernatural",20
345,Eikoku Koi Monogatari Emma,7.62,"Drama, Romance",12
346,W: Wish,6.14,"Drama, Romance, Slice of Life",13
347,Wild Arms: Twilight Venom,6.67,"Action, Adventure, Fantasy, Sci-Fi",22
348,Binzume Yousei,6.43,"Comedy, Fantasy",13
349,Magical Canan,6.16,"Drama, Fantasy, Supernatural",13
350,Ojamajo Doremi,7.29,"Comedy, Fantasy",51
351,Ojamajo Doremi Sharp,7.43,"Comedy, Fantasy",49
352,Motto! Ojamajo Doremi,7.44,"Comedy, Fantasy",50
353,Ojamajo Doremi Dokkaan!,7.72,"Comedy, Fantasy",51
354,UG☆Ultimate Girls,5.65,"Comedy, Sci-Fi, Ecchi",12
355,Shakugan no Shana,7.45,"Action, Drama, Fantasy, Romance",24
356,Fate/stay night,7.28,"Action, Fantasy, Romance, Supernatural",24
357,Bokusatsu Tenshi Dokuro-chan,6.54,"Comedy, Ecchi",4
358,"Iriya no Sora, UFO no Natsu",6.93,"Drama, Romance, Sci-Fi",6
359,I'll/CKBC,6.19,"Action, Sports",2
360,Himiko-den,6.17,"Adventure, Drama, Fantasy, Supernatural",12
361,Memories Off,5.78,"Drama, Romance",3
362,Memories Off 2nd,6.14,"Drama, Romance",3
363,Memories Off 3.5,6.13,"Drama, Romance",4
364,Gallery Fake,7.4,Mystery,37
365,Fake,6.5,"Boys Love, Comedy, Mystery, Romance",1
366,AIKa,5.93,"Action, Adventure, Comedy, Sci-Fi, Ecchi",7
367,Akazukin Chacha OVA,7,"Comedy, Fantasy",3
368,Bible Black,6.57,Hentai,6
369,Boogiepop wa Warawanai,7.16,"Avant Garde, Drama, Horror, Mystery, Supernatural",12
370,Burn Up Excess,6.57,"Action, Adventure, Comedy, Mystery, Sci-Fi, Ecchi",13
371,Cardcaptor Sakura Movie 1,7.63,"Award Winning, Comedy, Drama, Fantasy",1
372,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,8.21,"Award Winning, Comedy, Drama, Fantasy, Romance",1
373,Bannou Bunka Neko-Musume,6.74,"Adventure, Comedy, Sci-Fi",6
374,Bannou Bunka Neko-Musume DASH!,6.28,"Action, Comedy, Romance, Sci-Fi, Ecchi",12
375,Bannou Bunka Neko-Musume (1998),6.62,"Action, Adventure, Comedy, Sci-Fi",12
376,"Elfen Lied: Tooriame nite Arui wa, Shoujo wa Ikani Shite Sono Shinjou ni Itatta ka? - Regenschauer",7.14,"Drama, Horror, Supernatural, Ecchi",1
377,eX-Driver,6.66,"Action, Adventure, Comedy, Sci-Fi",6
378,eX-Driver the Movie,6.56,"Action, Adventure, Comedy, Sci-Fi",1
379,Heppoko Jikken Animation Excel♥Saga,7.49,"Comedy, Sci-Fi",26
380,Fushigi Yuugi OVA,7.14,"Adventure, Fantasy, Romance",3
381,Fushigi Yuugi: Dai Ni Bu,7.25,"Adventure, Fantasy, Romance",6
382,Futari Ecchi,6.32,"Comedy, Romance, Ecchi",4
383,Galaxy Angel,7.03,"Comedy, Sci-Fi",24
384,Gantz,6.99,"Action, Drama, Horror, Sci-Fi",13
385,Gilgamesh,6.63,"Drama, Fantasy, Sci-Fi",26
386,H2,7.23,"Comedy, Romance, Sports",41
387,Haibane Renmei,7.97,"Drama, Fantasy, Mystery",13
388,Capeta,7.83,Sports,52
389,Karas,7.37,"Action, Fantasy, Sci-Fi",6
390,Suzuka,7.18,"Drama, Romance, Sports",26
391,Tales of Phantasia The Animation,6.79,"Adventure, Fantasy",4
392,Yuu☆Yuu☆Hakusho,8.46,"Action, Fantasy",112
393,Escaflowne,7.06,"Adventure, Drama, Fantasy, Romance, Sci-Fi",1
394,Ai Yori Aoshi: Enishi,7.12,"Comedy, Drama, Romance",12
395,Gantz 2nd Stage,7.03,"Action, Drama, Horror, Sci-Fi",13
396,Seikai no Senki,7.67,"Action, Romance, Sci-Fi",13
397,Seikai no Senki II,7.8,"Action, Romance, Sci-Fi",10
398,Seikai no Senki III,7.65,"Action, Romance, Sci-Fi",2
399,Seikai no Senki Special,7.16,"Action, Romance, Sci-Fi",1
400,Seihou Bukyou Outlaw Star,7.84,"Action, Adventure, Comedy, Sci-Fi",24
401,Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen,7.97,"Drama, Romance",2
